"id","travel_date","province_thai","province_eng","region_thai","region_eng","no_tourist_all","no_tourist_foreign","no_tourist_stay","no_tourist_thai","ratio_tourist_stay","revenue_all","revenue_foreign","revenue_thai"
24607,"2019-01-01",กระบี่,Krabi ,ภาคใต้,south,564380.0,378823.0,348964.0,185557.0,81.62,10844790000,7855390000,2989400000
24608,"2019-01-01",สงขลา,Songkhla ,ภาคใต้,south,774786.0,242563.0,431256.0,532223.0,74.85,6531350000,2925980000,3605370000
24609,"2019-01-01",พังงา,Phang Nga ,ภาคใต้,south,536274.0,384791.0,128033.0,151483.0,86.51,6062060000,5132310000,929750000
24610,"2019-01-01",สุราษฎร์ธานี,Surat Thani ,ภาคใต้,south,540614.0,357114.0,484886.0,183500.0,75.59,9795400000,8509430000,1285970000
24611,"2019-01-01",สตูล,Satun ,ภาคใต้,south,210906.0,20079.0,88512.0,190827.0,74.9,1762520000,101220000,1661300000
24612,"2019-01-01",กำแพงเพชร,Kamphaeng Phet ,ภาคเหนือ,north,74421.0,2238.0,45815.0,72183.0,57.35,156400000,7260000.0,149140000
24613,"2019-01-01",เชียงราย,Chiang Rai ,ภาคเหนือ,north,453291.0,67226.0,403624.0,386065.0,81.25,3204260000,576250000,2628010000
24614,"2019-01-01",เชียงใหม่,Chiang Mai ,ภาคเหนือ,north,1173786.0,331956.0,928602.0,841830.0,91.04,12004620000,4333950000,7670670000
24615,"2019-01-01",พิจิตร,Phichit ,ภาคเหนือ,north,64359.0,582.0,46475.0,63777.0,57.68,136240000,900000.0,135340000
24616,"2019-01-01",นครสวรรค์,Nakhon Sawan ,ภาคเหนือ,north,189826.0,6339.0,118061.0,183487.0,63.54,349650000,8680000.0,340970000
24617,"2019-01-01",ตาก,Tak ,ภาคเหนือ,north,241654.0,5646.0,182684.0,236008.0,76.98,715400000,20230000,695170000
24618,"2019-01-01",พิษณุโลก,Phitsanulok ,ภาคเหนือ,north,387608.0,22744.0,202934.0,364864.0,71.52,989880000,73020000,916860000
24619,"2019-01-01",พะเยา,Phayao ,ภาคเหนือ,north,80767.0,3468.0,33961.0,77299.0,69.37,148560000,4630000.0,143930000
24620,"2019-01-01",เพชรบูรณ์,Phetchabun ,ภาคเหนือ,north,255911.0,2159.0,214329.0,253752.0,74.46,861900000,5960000.0,855940000
24621,"2019-01-01",แพร่,Phrae ,ภาคเหนือ,north,83792.0,9039.0,35764.0,74753.0,67.14,185370000,33620000,151750000
24622,"2019-01-01",ลำปาง,Lampang ,ภาคเหนือ,north,117418.0,10762.0,69285.0,106656.0,77.39,339280000,53520000,285760000
